nombre,pais,provincia,departamento,canthab
Adolfo Gonzáles Cháves (Est. Cháves),Argentina,6,Adolfo González Chávez,8613
Adolfo Van Praet,Argentina,42,Realicó,274
Adrogué,Argentina,6,Almirante Brown,28265
Aerolito,Argentina,86,Moreno,244
Afatal Agua Salada,Argentina,38,Santa Bárbara,
Afiladera,Argentina,66,Rosario De Lerma,
Agote,Argentina,6,Mercedes,
Agrelo,Argentina,50,Luján De Cuyo,1880
Agrícola Indigena Millain Curical,Argentina,58,Loncopué,
Agronomía De Agua Dulce,Argentina,90,Leales,
Agrupación Indigena Huy Quilán,Argentina,58,Ñorquín,
Agrupación Indigena Kilapi,Argentina,58,Loncopué,
Agua  Colorada,Argentina,86,Figueroa,
Agua Amarga,Argentina,86,Pellegrini,
Agua Amarilla,Argentina,10,Santa María,
Agua Azul,Argentina,90,Leales,
Agua Azul,Argentina,86,Pellegrini,
Agua Bendita,Argentina,38,Tumbaya,
Agua Blanca,Argentina,46,Castro Barros,
Agua Blanca,Argentina,90,Famaillá,
Agua Blanca,Argentina,66,General José De San Martín,
Agua Blanca,Argentina,66,General Martín M Güemes,
Agua Blanca,Argentina,86,Ojo De Agua,
Agua Blanca,Argentina,14,Pocho,
Agua Blanca,Argentina,38,Santa Barbara,
Agua Caliente,Argentina,66,Anta,
Agua Caliente,Argentina,38,Cochinoca,
Agua Caliente,Argentina,50,Malargüe,
Agua Caliente,Argentina,66,Metán,
Agua Caliente,Argentina,58,Pehuenches,
Agua Caliente De La Puna,Argentina,38,Cochinoca,
Agua Caliente De Tuzgle,Argentina,38,Susques,
Agua Cercada,Argentina,70,Valle Fértil,
Agua Chica,Argentina,38,Cochinoca,
Agua Chilca,Argentina,38,Yavi,
Agua Colorada,Argentina,46,General Belgrano,
Agua Colorada,Argentina,46,General Ocampo,
Agua De Castilla,Argentina,38,Cochinoca,
Agua De Castilla,Argentina,66,Los Andes,
Agua De Ischigualasto,Argentina,70,Valle Fértil,
Agua De La Bruja,Argentina,58,Loncopué,
Agua De La Piedra,Argentina,46,Rosario Vera Peñaloza,
Agua De La Zorra,Argentina,70,Jáchal,
Agua De La Zorra,Argentina,14,Punilla,
Agua De Las Mulas,Argentina,58,Picunches,
Agua De Las Palomas,Argentina,10,Andalgalá,
Agua De Las Piedras,Argentina,14,Totoral,
Agua De Los Árboles,Argentina,14,Minas,
Agua De Los Burros,Argentina,50,San Rafael,
Agua De Los Patos,Argentina,50,San Rafael,
Agua De Oro,Argentina,14,Colón,1553
Agua De Torres,Argentina,42,Chical-co,
Agua Del Milico,Argentina,58,Picunches,
Agua Del Overo,Argentina,58,Catán Lil,
Agua Del Tala,Argentina,14,Minas,
Agua Del Toro,Argentina,50,Malargüe,
Agua Dulce,Argentina,86,Belgrano,
Agua Dulce,Argentina,90,Leales,
Agua Dulce,Argentina,58,Loncopué,
Agua Dulce,Argentina,34,Patiño,
Agua Escondida,Argentina,50,Malargüe,116
Agua Hedionda,Argentina,14,Tulumba,
Agua Negra,Argentina,90,Burruyacú,
Agua Negra,Argentina,66,Chicoana,
Agua Nueva,Argentina,50,Malargüe,
Agua Salada,Argentina,90,Leales,
Agua Salada,Argentina,10,Tinogasta,
Agua Segura,Argentina,50,San Rafael,
Agua Tapada,Argentina,10,Santa María,
Agua Verde,Argentina,10,Andalgalá,
Aguada,Argentina,10,Ambato,
Aguada,Argentina,38,Rinconada,
Aguada Cecilio,Argentina,62,Valcheta,119
Aguada Chacayco,Argentina,58,Chos Malal,
Aguada Cortadera,Argentina,58,Picún Leufú,
Aguada De Guerra,Argentina,62,25 De Mayo,175
Aguada De La Bandera,Argentina,78,Lago Buenos Aires,
Aguada De La Posta,Argentina,58,Picunches,
Aguada De Los Carrizos,Argentina,58,Pehuenches,
Aguada De Oro,Argentina,14,Río Seco,
Aguada De Pichitril,Argentina,58,Pehuenches,
Aguada De San Cristín,Argentina,14,Minas,
Aguada De San Roque,Argentina,58,Añelo,
Aguada Del Bicho,Argentina,58,Picunches,
Aguada Del Chañar,Argentina,58,Pehuenches,
Aguada Del Durazno,Argentina,14,Punilla,
Aguada Del Lucero,Argentina,58,Zapala,
Aguada Del Macho,Argentina,58,Añelo,
Aguada Del Sapo,Argentina,58,Catán Lil,
Aguada Del Sapo,Argentina,26,Telsen,
Aguada Del Trapo,Argentina,62,El Cuy,
Aguada El Alamito,Argentina,58,Picún Leufú,
Aguada Florencio,Argentina,58,Catán Lil,
Aguada Guzmán,Argentina,62,El Cuy,117
Aguada La Chilca,Argentina,58,Confluencia,
Aguada La Vista,Argentina,58,Picunches,
Aguada Rodeo,Argentina,14,Tulumba,
Aguada Santillán,Argentina,46,Rosario Vera Peñaloza,
Aguada Troncoso,Argentina,62,Ñorquincó,
Aguadita,Argentina,46,Chamical,
Aguadita,Argentina,66,Molinos,
Aguadita,Argentina,38,Tumbaya,
Aguadita De Los Peralta,Argentina,46,General Ocampo,
Aguadita De Los Valdeces,Argentina,46,General Angel V. Peñaloza,
Aguaneo,Argentina,46,Independencia,
Aguapey,Argentina,18,San Martín,
Aguara Grande,Argentina,82,San Cristóbal,169
Aguaray,Argentina,66,General José De San Martín,8059
Aguas Blancas,Argentina,66,Orán,1403
Aguas Blancas,Argentina,38,Tumbaya,
Aguas Calientes,Argentina,38,El Carmen,1723
Aguas Corriente,Argentina,30,Paraná,
Aguas De Ramón,Argentina,14,Minas,
Aguas Muertas,Argentina,66,Rivadavia,
Aguas Verdes,Argentina,6,La Costa,459
Aguay,Argentina,18,Curuzú Cuatiá,
Aguay,Argentina,66,General José De San Martín,
Aguayo,Argentina,46,General San Martín,
Aguilar Chico,Argentina,38,Cochinoca,
Aguilares,Argentina,90,Río Chico,29825
Agustin Mosconi,Argentina,6,25 De Mayo,310
Agustín Roca,Argentina,6,Junín,331
Agustina,Argentina,6,Junín,155
Agustina Libarona,Argentina,86,Alberdi,
Agustoni,Argentina,42,Maracó,268
Ahi Veremos,Argentina,86,Banda,
Ahi Veremos,Argentina,34,Bermejo,
Ahi Veremos,Argentina,86,Copo,
Ahi Veremos,Argentina,86,Mitre,
Ahi Veremos,Argentina,86,Pellegrini,
Aibalito,Argentina,86,Moreno,
Aibolito,Argentina,86,Pellegrini,
Aicuñá,Argentina,46,Coronel Felipe Varela,221
Aike Grande,Argentina,78,Güer Aike,
Ailinco,Argentina,58,Minas,
Aimogasta,Argentina,46,Arauco,8768
Aipa Puca,Argentina,86,Río Hondo,
Aival,Argentina,86,Alberdi,
Ajedres,Argentina,38,Rinconada,
Alabama,Argentina,90,Cruz Alta,
Alamo Del Colorado,Argentina,62,General Roca,
Alamos,Argentina,6,Guamini,
Alarcón,Argentina,30,Gualeguaychú,
Alba Posse,Argentina,54,25 De Mayo,481
Albardón,Argentina,18,Empedrado,
Albardón,Argentina,18,General Paz,
Albardones,Argentina,18,San Luis Del Palmar,
Albarellos,Argentina,82,Rosario,268
Alberdi,Argentina,54,Oberá,562
Alberdi Viejo,Argentina,6,Leandro N. Alem,336
Alberti (Est. Andrés Vaccarezza),Argentina,6,Alberti,7493
Albigasta,Argentina,10,El Alto,
Alcaraz 2do,Argentina,30,La Paz,
Alcazar,Argentina,46,General Angel V. Peñaloza,
Alcira (Est Gigena),Argentina,14,Río Cuarto,5489
Alcoba,Argentina,66,General José De San Martín,
Alcorta,Argentina,82,Constitución,7038
Aldao,Argentina,82,San Lorenzo,441
Aldao (Est. Casablanca),Argentina,82,Castellanos,1351
Aldea Apeleg,Argentina,26,Río Senguer,119
Aldea Asunción,Argentina,30,Gualeguay,303
Aldea Beleiro,Argentina,26,Río Senguer,172
Aldea Brasilera,Argentina,30,Diamante,709
Aldea Camarero,Argentina,30,Diamante,
Aldea Chávez,Argentina,30,Diamante,
Aldea Cuatro Casas,Argentina,30,Paraná,
Aldea El Chaleco,Argentina,30,Paraná,
Aldea Escolar-Los Radales,Argentina,26,Futaleufú,375
Aldea Jacabi,Argentina,30,Paraná,
Aldea Kranevitter,Argentina,30,Diamante,
Aldea María Luisa,Argentina,30,Paraná,637
Aldea Nueva,Argentina,30,Paraná,
Aldea Protestante,Argentina,30,Diamante,545
Aldea Rafael Moreno,Argentina,30,Diamante,
Aldea Refino,Argentina,30,Paraná,
Aldea Repollo,Argentina,30,Paraná,
Aldea Romana,Argentina,6,Bahía Blanca,
Aldea Salto,Argentina,30,Diamante,96
Aldea San Alfonso O De Las Latas,Argentina,30,Diamante,
Aldea San Antonio,Argentina,30,Gualeguaychú,791
Aldea San Enrique O Sacacueros,Argentina,30,Paraná,
Aldea San Francisco,Argentina,30,Diamante,57
Aldea San Gregorio,Argentina,30,Colón,
Aldea San Juan,Argentina,30,Gualeguaychú,226
Aldea San Miguel,Argentina,30,Nogoyá,
Aldea San Rafael,Argentina,30,Paraná,101
Aldea San Simón,Argentina,30,Nogoyá,
Aldea Santa María,Argentina,30,Paraná,269
Aldea Santa María,Argentina,14,Unión,111
Aldea Santa Rosa,Argentina,30,Paraná,64
Aldea Shaman,Argentina,26,Tehuelches,
Aldea Spatzenkutter,Argentina,30,Diamante,275
Aldea Valle María,Argentina,30,Diamante,1627
Alderete,Argentina,90,Simoca,
Alderetes,Argentina,90,Cruz Alta,18076
Aldo Bonzi,Argentina,6,La Matanza,18175
Alegre,Argentina,6,General Paz,
Alejandra,Argentina,82,San Javier,2574
Alejandro Korn,Argentina,6,San Vicente,
Alejandro Petión,Argentina,6,Cañuelas,2759
Alejandro Roca,Argentina,14,Juarez Celman,4724
Alejo Ledesma,Argentina,14,Marcos Juárez,3310
Alemania,Argentina,66,La Viña,
Alén Cue,Argentina,18,Paso De Los Libres,
Alfamugalla,Argentina,10,El Alto,
Alfarcito,Argentina,66,Rosario De Lerma,
Alferez San Martín,Argentina,6,Bahía Blanca,
Alfonso Loma,Argentina,18,Mercedes,
Alfredo Demarchi (Est. Facundo Quiroga),Argentina,6,9 De Julio,1999
Algarrobal,Argentina,66,Anta,
Algarrobal,Argentina,18,General Paz,
Algarrobal,Argentina,66,Guachipas,
Algarrobal,Argentina,66,Orán,
Algarrobales,Argentina,86,Río Hondo,
Algarrobo,Argentina,58,Confluencia,
Algarrobo,Argentina,18,Lavalle,
Algarrobo,Argentina,86,Ojo De Agua,
Algarrobo De Aguila,Argentina,42,Chical-co,147
Algarrobo Grande,Argentina,46,General San Martín,
Alhuampa,Argentina,86,Moreno,384
Alicia,Argentina,14,San Justo,2758
Alijilán,Argentina,10,Santa Rosa,1303
Aliso Morado,Argentina,90,Tafí Viejo,
Allen,Argentina,62,General Roca,20733
Almafuerte,Argentina,54,Leandro N. Alem,209
Almafuerte,Argentina,14,Tercero Arriba,10534
Almirante Brown,Argentina,66,Rosario De La Frontera,
"Almirante Brown 
Almirante Brown 
Almirante Brown (Andresito)",Argentina,54,General Manuel Belgrano,8338
Almona,Argentina,66,Rosario De La Frontera,
Alpa Corral,Argentina,14,Río Cuarto,701
Alpachiri,Argentina,90,Chicligasta,659
Alpachiri,Argentina,42,Guatraché,1797
Alsa,Argentina,74,Libertador General San Martín,
Alta Gracia,Argentina,14,Santa María,42538
Alta Gracia,Argentina,10,Santa Rosa,
Alta Italia,Argentina,42,Realicó,1300
Alta Vista,Argentina,6,Saavedra,
Altamirano,Argentina,6,Brandsen,215
Altamirano Norte,Argentina,30,Tala,
Altamirano Sur,Argentina,30,Tala,57
Altautina,Argentina,14,San Alberto,
Altillo,Argentina,18,Paso De Los Libres,
Alto Alegre,Argentina,66,Anta,
Alto Alegre,Argentina,14,Unión,709
Alto Bello,Argentina,66,Anta,
Alto Bello,Argentina,86,Choya,
Alto Carrizal,Argentina,46,Famatina,219
Alto De Guanta,Argentina,38,Tumbaya,
Alto De Huaco,Argentina,70,Jáchal,
Alto De La Cocha,Argentina,90,La Cocha,
Alto De La Jarilla,Argentina,14,San Alberto,
Alto de la Sierra,Argentina,66,Rivadavia,781
Alto De Las Juntas,Argentina,10,Andalgalá,119
Alto De Las Lechuzas,Argentina,90,Simoca,
Alto De Las Plumas,Argentina,26,Mártires,
Alto De Las Salinas,Argentina,74,Capital,
Alto De Leiva,Argentina,90,Monteros,
Alto de Medinas,Argentina,90,Burruyacú,
Alto de San Isidro,Argentina,66,Cafayate,
Alto De Sierra,Argentina,70,Santa Lucía,3207
Alto Del Bumbón,Argentina,46,Coronel Felipe Varela,
Alto del Divisadero,Argentina,66,Cafayate,
Alto Del Durazno,Argentina,14,Santa María,
Alto Del Puesto,Argentina,90,La Cocha,
Alto Grande,Argentina,14,RíoSeco,
Alto Grande,Argentina,14,San Alberto,
Alto Jagüe,Argentina,46,Vinchina,207
Alto La Viña,Argentina,38,Dr. Manuel Belgrano,
Alto Las Flores,Argentina,66,Rivadavia,
Alto Los Cardales,Argentina,6,Campana,1983
Alto Los Moros,Argentina,66,Metán,
Alto Monte Caseros,Argentina,50,San Martín,
Alto O Del Tala,Argentina,14,Pocho,
Alto Pelado,Argentina,74,Capital,170
Alto Pencoso,Argentina,74,Capital,244
Alto Río Mayo,Argentina,26,Río Senguer,
Alto Río Senguer,Argentina,26,Río Senguer,1454
Alto Verde,Argentina,90,Chicligasta,2463
Alto Verde,Argentina,38,El Carmen,
Alto Verde,Argentina,86,Moreno,
Alto Verde,Argentina,66,Rivadavia,
Alto Verde,Argentina,50,San Martín,1440
Alto Verde,Argentina,14,Tulumba,
Altona,Argentina,6,Tapalqué,
Altos De Chipión,Argentina,14,San Justo,1512
Alumbre,Argentina,66,Molinos,
Alumbrera,Argentina,10,Andalgalá,
Aluminé,Argentina,58,Aluminé,3461
Aluvia,Argentina,66,Metán,
Álvarez,Argentina,82,Rosario,4928
Álvarez Jonte,Argentina,6,Punta Indio,38
Alvariño,Argentina,6,Pehuajó,
Alvear,Argentina,18,General Alvear,6934
Alvear,Argentina,82,Rosario,1481
Alzaga,Argentina,6,Adolfo González Chávez,
Ama Kella,Argentina,66,Anta,
Amadores,Argentina,10,Paclín,179
Amaglia,Argentina,10,La Paz,
Amaicha,Argentina,66,Molinos,
Amaicha del Valle,Argentina,90,Tafí del Valle,1139
Amama,Argentina,86,Moreno,
Amana,Argentina,10,Ancasti,
Amaná,Argentina,46,Independencia,210
Amanao,Argentina,10,Andalgalá,48
Amapola,Argentina,86,Río Hondo,
Amasullo,Argentina,66,Rosario De La Frontera,
Ambargasta,Argentina,86,Ojo De Agua,
Amberes,Argentina,90,Monteros,
Amberes,Argentina,66,Rivadavia,
Ambil,Argentina,46,General Ocampo,283
Amblayo,Argentina,66,San Carlos,
Amboy,Argentina,14,Calamuchita,168
Ambrosetti,Argentina,82,San Cristóbal,865
Ambúl,Argentina,14,San Alberto,449
Amenabar,Argentina,82,General López,1392
America,Argentina,6,Rivadavia,10361
Amicha,Argentina,86,Río Hondo,
Amieva,Argentina,74,Belgrano,
Amiman,Argentina,86,Ojo De Agua,
Aminga,Argentina,46,Castro Barros,820
Amoladeras,Argentina,86,Ojo De Agua,
Ampa,Argentina,86,Sarmiento,
Ampacama,Argentina,70,Caucete,
Ampajango,Argentina,10,Santa María,
Ampalo Pozo,Argentina,86,Pellegrini,
Ampascachi,Argentina,66,La ViÑa,185
Ampata,Argentina,46,Capital,
Ampata,Argentina,90,Simoca,
Ampatapa,Argentina,66,La ViÑa,
Ampimpa,Argentina,90,Tafí del Valle,
Ampiza De Arriva,Argentina,46,Capital,
Ampolla,Argentina,10,Santa Rosa,
Ampujaco,Argentina,10,Belén,
Amuschina,Argentina,46,San Blas De Los Sauces,87
Ana Zumaran,Argentina,14,Unión,52
Anahí,Argentina,66,Rosario De La Frontera,
Anasagasti,Argentina,6,Navarro,
Añatuya,Argentina,86,General Taboada,20261
Anca Overá,Argentina,86,Alberdi,
Ancaján,Argentina,86,Choya,70
Ancajuli,Argentina,90,Tafí Viejo,
Ancasti,Argentina,10,Ancasti,305
Ancastillo,Argentina,10,La Paz,
Anchico Nuevo,Argentina,46,Capital,
Anchillos,Argentina,90,Tafí del Valle,
Anchorena,Argentina,74,Gobernador Dupuy,614
Anchoris,Argentina,50,Luján De Cuyo,
Anchumbil,Argentina,46,Coronel Felipe Varela,
Ancocha,Argentina,86,Atamisqui,
Ancon,Argentina,6,Pehuajó,
Andacollo,Argentina,70,Jáchal,
Andacollo,Argentina,58,Minas,2321
Andalgalá,Argentina,10,Andalgalá,11411
Andalhuala,Argentina,10,Santa María,339
Andant,Argentina,6,Daireaux,40
Anderson,Argentina,6,25 De Mayo,
Andolucas,Argentina,46,San Blas De Los Sauces,142
Andrade,Argentina,50,Rivadavia,196
Andruet,Argentina,14,Colón,
Añelo,Argentina,58,Añelo,1543
Anfama,Argentina,90,Tafí Viejo,
Anga,Argentina,86,Salavina,
Angastaco,Argentina,66,San Carlos,881
Ángel Etcheverry,Argentina,6,La Plata,2671
Angel Gallardo,Argentina,82,La Capital,519
Angelica,Argentina,82,Castellanos,1211
Angeloni,Argentina,82,San Justo,79
Angola,Argentina,86,Figueroa,
Angosto De Las Burras,Argentina,38,Susques,
Angosto De Perchel,Argentina,38,Tilcara,
Angualasto,Argentina,70,Iglesia,303
Anguil,Argentina,42,Capital,1630
Anguinán,Argentina,46,Chilecito,1672
Angulos,Argentina,46,Famatina,137
Anillaco,Argentina,46,Castro Barros,1365
Anillaco,Argentina,10,Tinogasta,190
Animaná,Argentina,66,San Carlos,1187
Anizacate,Argentina,14,Santa María,2010
Anjuana,Argentina,90,Tafí del Valle,
Anjuli,Argentina,10,La Paz,
Anjullón,Argentina,46,Castro Barros,511
Anquincila,Argentina,10,Ancasti,200
Anta,Argentina,66,Anta,
Anta Yaco,Argentina,66,Rosario De La Frontera,
Antaje,Argentina,86,Banda,177
Antelo,Argentina,30,Victoria,178
Antiguyoc,Argentina,38,Rinconada,
Antilla,Argentina,66,Rosario de la Frontera,619
Antilo,Argentina,86,Capital,
Antinaco,Argentina,46,Famatina,89
Antinaco,Argentina,10,Tinogasta,98
Antofagasta De La Sierra,Argentina,10,Antofagasta De La Sierra,667
Antofalla,Argentina,10,Antofagasta De La Sierra,45
Antonio Carboni,Argentina,6,Lobos,310
Antonio Pini,Argentina,82,9 De Julio,
Antonio Quijarro,Argentina,66,General José De San Martín,
Antonio Tomas,Argentina,30,Paraná,
Anzoátegui,Argentina,42,Caleu-caleu,8
Aparicio,Argentina,6,Coronel Dorrego,111
Aparicio Cue,Argentina,54,San Ignacio,
Aparzo,Argentina,38,Humahuaca,
Apayerey,Argentina,34,Pilagás,
Apeadero Boca Del Tigre,Argentina,30,Nogoyá,
Apeadero Km 389,Argentina,30,Islas Del Ibicuy,
Apeadero Km 391,Argentina,30,Concordia,
Apeadero Miguel Lillo,Argentina,90,Leales,
Apeadero Percy H. Scott,Argentina,62,San Antonio,
Apeadero Sanatorio,Argentina,30,Diamante,
Apolinario Saravía,Argentina,66,Anta,5596
Apóstoles,Argentina,54,Apóstoles,22395
Apoyaco,Argentina,10,Pomán,93
Aquihueco,Argentina,58,Chos Malal,
Aquino,Argentina,18,Lavalle,
Arabia,Argentina,14,Río Primero,
Aragón,Argentina,66,Rosario De La Frontera,
Aragón,Argentina,90,Trancas,
Arana,Argentina,6,La Plata,268
Aranguren,Argentina,30,Nogoyá,1356
Arano,Argentina,6,Adolfo Alsina,
Arata,Argentina,42,Trenel,974
Arauco,Argentina,46,Arauco,723
Araujo,Argentina,6,25 De Mayo,
Arauquito,Argentina,46,San Blas De Los Sauces,
Arbol Blanco,Argentina,14,Ischilín,
Árbol Blanco,Argentina,86,Moreno,
Árbol De La Esperanza,Argentina,42,Limay Mahuida,
Árbol Seco,Argentina,26,Languiñeo,
Arbol Solo,Argentina,18,Paso De Los Libres,
Árbol Solo,Argentina,74,Belgrano,
Árbol Solo,Argentina,42,Chalileo,
Árbol Solo,Argentina,66,General José De San Martín,
Árbol Solo,Argentina,34,Pirané,
Árbol Solo,Argentina,86,Quebrachos,
Árbol Verde,Argentina,74,Junín,
Arboledas,Argentina,6,Daireaux,599
Árboles Grandes,Argentina,90,Graneros,
Árboles Negros,Argentina,86,Ojo De Agua,
Arbolito Blanco,Argentina,46,General San Martín,
Arbolito Solo,Argentina,38,Cochinoca,
Arcadia,Argentina,90,Chicligasta,1888
Ardiles,Argentina,86,Banda,174
Área de Promoción El Triángulo,Argentina,6,Malvinas Argentinas,2594
Arenal Viejo,Argentina,66,Rosario De La Frontera,
Arenales,Argentina,66,General José De San Martín,
Arenales,Argentina,86,Pellegrini,
Arenaza,Argentina,6,Lincoln,1311
Arequito,Argentina,82,Caseros,6472
Arerungua,Argentina,18,General Paz,
Argentina,Argentina,86,Aguirre,49
Argerich,Argentina,6,Villarino,102
Arguello,Argentina,14,Capital,
Arias,Argentina,14,Marcos Juarez,6928
Ariel,Argentina,6,Azul,62
Aristóbulo,Argentina,54,Cainguás,
Aristobulo Del Valle,Argentina,54,Cainguás,8562
Arizaro,Argentina,66,Los Andes,
Arizona,Argentina,74,Gobernador Dupuy,995
Arminda,Argentina,82,Rosario,301
Armonía,Argentina,86,Moreno,
Armonía,Argentina,54,Obera,
Armstrong,Argentina,82,Belgrano,9951
Aro Paco,Argentina,10,La Paz,
Arocena,Argentina,82,San Jerónimo,1351
Aromos,Argentina,82,La Capital,
Árraga,Argentina,86,Silípica,903
Arrayanal,Argentina,38,San Pedro,918
Arrecifes,Argentina,6,Arrecifes,24336
Arribeños,Argentina,6,General Arenales,2910
Arrocera,Argentina,18,Bella Vista,
Arrocera,Argentina,18,Goya,
Arrocera,Argentina,18,Saladas,
Arrocera Popelka,Argentina,18,Mercedes,
Arroyito,Argentina,58,Confluencia,81
Arroyito,Argentina,50,Lavalle,
Arroyito,Argentina,14,San Justo,19577
Arroyo Aguiar,Argentina,82,La Capital,668
Arroyo Algodón,Argentina,14,General San Martín,643
Arroyo Atahona,Argentina,90,Simoca,
Arroyo Barranquita,Argentina,74,Coronel Pringles,
Arroyo Barú,Argentina,30,Colón,509
Arroyo Cabral,Argentina,14,General San Martín,2727
Arroyo Ceibal,Argentina,82,General Obligado,574
Arroyo Colorado,Argentina,38,San Pedro,354
Arroyo Corto,Argentina,6,Saavedra,500
Arroyo De Álvarez,Argentina,14,San Justo,
Arroyo de la Cruz,Argentina,6,Exaltación de la Cruz,243
Arroyo Del Medio,Argentina,30,Federal,
Arroyo Del Medio,Argentina,54,Leandro N. Alem,156
Arroyo Del Medio,Argentina,6,Pergamino,
Arroyo Del Medio,Argentina,38,San Pedro,
Arroyo Dulce,Argentina,6,Salto,1715
Arroyo González,Argentina,18,San Roque,
Arroyo Hondo,Argentina,30,Islas Del Ibicuy,
Arroyo Leyes,Argentina,82,La Capital,1594
Arroyo Los Berros,Argentina,62,Valcheta,161
Arroyo Martínez,Argentina,30,Islas Del Ibicuy,206
Arroyo Pastora,Argentina,54,Candelaria,
Arroyo San Antonio,Argentina,14,Calamuchita,11
Arroyo Seco,Argentina,18,Curuzú Cuatiá,
Arroyo Seco,Argentina,82,Rosario,19047
Arroyo Tomás,Argentina,54,Capital,
Arroyo Venado,Argentina,6,Guaminí,66
Arroyo Ventana,Argentina,62,Valcheta,31
Arrozales,Argentina,38,San Pedro,
Arrufo,Argentina,82,San Cristóbal,1630
Arteaga,Argentina,82,Caseros,2792
Artigal,Argentina,66,Santa Victoria,
Arturo Segui,Argentina,6,La Plata,3894
Asaguango,Argentina,46,Famatina,
Asamblea,Argentina,6,Bragado,
Ascayoc,Argentina,66,Iruya,
Ascensión,Argentina,6,General Arenales,4179
Ascochinga,Argentina,14,Colón,470
Aserradero,Argentina,90,Burruyacú,
Ashpapuca,Argentina,86,Silípica,
Ashpayana,Argentina,86,General Taboada,
Aspasinche,Argentina,86,San Martín,
Assunta,Argentina,14,Juárez Celman,58
Astica,Argentina,70,Valle Fértil,664
Astra,Argentina,26,Escalante,219
Asturias,Argentina,6,Pehuajó,
Atahona,Argentina,14,Río Primero,112
Atahona,Argentina,90,Simoca,381
Atalaya,Argentina,6,Magdalena,720
Ataliva,Argentina,82,Castellanos,1520
Ataliva Roca,Argentina,42,Utracán,557
Atencio,Argentina,30,Feliciano,
Atiles,Argentina,46,General Juan F. Quiroga,
Atilio Pessagno,Argentina,6,Chascomús,
Atocha,Argentina,66,Capital,564
Atoj Pozo,Argentina,86,San Martín,
Atos Pampa,Argentina,14,Calamuchita,
Atucha,Argentina,6,Zárate,
Auca Mahuida,Argentina,58,Añelo,
Auquinco,Argentina,58,Pehuenches,
Aurelia,Argentina,82,Castellanos,123
Aurelia Norte,Argentina,82,Castellanos,
